Geneid,SRR1313066,SRR1313067,SRR1313068,SRR1313078,SRR1313090,SRR1313091,SRR1313092,SRR1313094,SRR1313096,SRR1313099,SRR1313101,SRR1313111,SRR1313112,SRR1313113,SRR1313115,SRR1313118,SRR1313120,SRR1313123,SRR1313127,SRR1313128
CHODL,24,0,1,4,5,19,3,9,127,7,21,23,6,15,2,8,5,18,8,608
ENSG00000227330,0,1,0,2,1,4,0,4,42,4,1,3,1,5,1,1,7,1,1,325
TMPRSS15,3051,0,0,6,0,1,0,3,6,0,1,0,0,2,0,0,1,1,4,17
ENSG00000228708,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR548XHG,96,0,2,10,0,2,1,3,2,1,1,1,0,3,4,2,3,2,1,2
ENSG00000230233,23,1,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
MIR548X,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPIAP22,45,59,142,32,73,56,84,99,109,37,159,54,87,45,28,161,15,176,109,11
ENSG00000279156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232193,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2
ENSG00000226204,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235965,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229289,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SLC6A6P1,0,0,0,6,0,1,0,0,4,0,1,1,0,1,0,0,0,0,0,0
ENSG00000231620,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1
RNU1-139P,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
RPL37P4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0
NIPA2P3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SREK1IP1P1,5,0,5,10,3,10,9,8,15,4,3,8,12,8,6,16,16,5,3,17
C1QBPP1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0
LINC01683,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LINC02573,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
RNU6-772P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FDPSP6,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
KRT18P2,0,3,0,1,1,0,1,1,2,0,2,3,0,1,0,0,1,3,1,0
RPS3AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276738,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
LINC00320,0,0,2,29,0,1,1,0,22,2,0,0,0,1,0,3,0,2,4,2
PPIAP1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
NCAM2,418,1972,8016,654,268,64,83,185,156,92,86,131,1828,474,41,1015,30,123,265,10
ENSG00000226771,5,7,39,60,4,0,2,12,30,4,0,5,63,12,7,4,8,5,8,0
ENSG00000234730,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0
ENSG00000237527,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
LINC00317,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
LINC01425,0,4,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
ENSG00000227075,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
LINC01687,68,4,0,21,4,0,0,0,12,0,0,2,0,1,6,1,2,1,5,1
LINC00308,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-45P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226043,5,0,0,3,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1
MAPK6P2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000234034,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225906,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000230972,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MIR6130,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
ZNF299P,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
MSANTD2P1,1,0,1,2,0,1,0,0,2,0,0,1,0,0,0,0,1,1,1,0
ENSG00000286222,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
RNU2-55P,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
D21S2088E,0,0,0,18,0,0,2,1,7,0,1,0,0,2,0,0,1,0,2,4
EEF1A1P1,7,1,2,3,5,7,6,2,1,3,11,2,3,1,2,3,0,1,0,1
TUBAP1,0,0,0,4,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0
ENSG00000227716,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000288094,0,0,0,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0
